,AUC,PRC,GINI,KS,brier_score,psi_fixed,psi_quantile,brier_new_score
lr+fit,0.7637491301415565,0.5253435833905449,0.5274982155603141,0.41387945237826895,0.13949166563717671,0.0023967461310060866,0.0018152992972689215,0.00013153561955038328
rf+fit,0.756695664929633,0.5341952218769375,0.5130106564507495,0.39201429698443113,0.14082102838888888,1.057666630144924,0.9765725899262828,0.0022309711129989145
xgb+fit,0.761493240596137,0.5238318873856405,0.522983443745539,0.3954736949439981,0.14318765553951007,0.0184585376956313,0.016299538334615213,0.002942348388524609
lgb+fit,0.7811474439131376,0.5603989666866653,0.5622921406584582,0.4332265352889719,0.13459429488904007,0.0024084161699189414,0.0017380329021083316,0.00038081253878191905
best_xgb+calib+fit,0.7852977912303957,0.567156958028298,0.57059494334404,0.4371582060075241,0.134253653368772,0.0008475877523239594,0.001698684480024463,0.0010558527633460185
