,value,shap,shap_rank,proba_change
AVG_BILL_3_DIV_LIMIT,0.617459259,0.34201273,90.5%,1.9%
BILL_AMT6,52945.0,0.19239734,98.0%,1.1%
MAX_PAY_6,0.0,-0.1817812,17.1%,-1.2%
MAX_PAY_2,0.0,-0.15386333,69.8%,-1.0%
PAY_AMT2,6000.0,-0.1948861,12.1%,-1.0%
PAY_AMT3,3500.0,0.13696826,95.0%,0.8%
