,value,shap,shap_rank,influence
AVG_BILL_3_DIV_LIMIT,0.917369231,0.32966897,93.56%,0.34055427853652487
BILL_1_DIV_LIMIT,0.982930769,0.13426201,95.22%,0.14453534379134442
MAX_PAY_6,0.0,-0.14346927,44.3%,0.12949777421965555
MAX_PAY_4,0.0,-0.14026707,45.71%,0.10804986055377777
MAX_PAY_2,0.0,-0.16597874,57.06%,0.10695997828222217
PAY_AMT6,3100.0,-0.07363712,12.49%,0.06387976730042047
