,probability_range,num,share,MAX_PAY_2_mean,MAX_PAY_2_shap_mean,MAX_PAY_2_proba_change_mean,MAX_PAY_4_mean,MAX_PAY_4_shap_mean,MAX_PAY_4_proba_change_mean,MAX_PAY_6_mean,MAX_PAY_6_shap_mean,MAX_PAY_6_proba_change_mean,PAY_1_mean,PAY_1_shap_mean,PAY_1_proba_change_mean,AVG_BILL_3_DIV_LIMIT_mean,AVG_BILL_3_DIV_LIMIT_shap_mean,AVG_BILL_3_DIV_LIMIT_proba_change_mean,LIMIT_BAL_mean,LIMIT_BAL_shap_mean,LIMIT_BAL_proba_change_mean
0,0%-5%,904.0,0.10044444444444445,-0.31526548672566373,-0.19990408386061945,-0.9%,-0.24668141592920353,-0.12213012492035401,-0.5%,-0.19800884955752213,-0.1859724099081856,-0.8%,-0.37610619469026546,-0.10541311472455739,-0.2%,0.25252273523561997,-0.2460068651640485,-1.0%,308904.8672566372,-0.15165723559619493,-0.6%
1,5%-10%,2227.0,0.24744444444444444,-0.4162550516389762,-0.19614482094342137,-1.5%,-0.33767400089806915,-0.12040879174764257,-0.8%,-0.2537045352492142,-0.14527605283246514,-1.1%,-0.4580152671755725,-0.09414631591014816,-0.3%,0.33194184783713526,-0.09420607478808248,-0.6%,207072.29456668164,-0.05296058960008537,-0.2%
2,10%-25%,3064.0,0.34044444444444444,-0.3201697127937337,-0.17103655226468636,-2.4%,-0.15274151436031333,-0.08512907424481068,-1.1%,-0.00489556135770235,-0.05728201075686699,-0.8%,-0.36488250652741516,-0.0855539805667169,-0.4%,0.4692674951582762,0.06552523751606072,0.8%,145077.02349869453,0.010204838489264048,0.3%
3,25%-50%,1573.0,0.17477777777777778,0.4659885568976478,0.05306592808709465,1.0%,1.0038143674507312,0.09272429483509205,2.2%,1.1729179910998093,0.1936240294048189,4.2%,0.06102987921169739,-0.13664736537783032,-2.0%,0.3261969372366371,-0.005405126479243482,0.1%,133363.00063572792,0.013020072912575995,0.7%
4,50%-100%,1232.0,0.1368888888888889,2.231331168831169,0.8764725600162351,21.3%,2.3798701298701297,0.3681079059123375,8.9%,2.4123376623376624,0.2972185415306004,7.1%,1.8823051948051948,0.25289167635024384,7.3%,0.6299603186615255,0.04983061612128242,1.7%,100053.57142857143,0.029834773207800345,1.1%
