,value,shap,shap_rank,influence
MAX_PAY_2,5.0,0.42500904,87.88%,0.4840278017177778
MAX_PAY_4,5.0,0.2697402,84.63%,0.3019574094462222
MAX_PAY_6,5.0,0.24881648,76.29%,0.26278797578034446
PAY_1,5.0,0.1274649,89.42%,0.17951548806155557
AVG_PAY_4,3.5,-0.11028085,0.09%,0.10899438728747944
DELAY_6,4.0,0.09089022,87.99%,0.1056140300538091
