,value,shap,shap_rank,influence
AVG_PAY_AMT_4,0.0,0.18535581,97.66%,0.1906891093392254
AVG_BILL_3_DIV_AVG_BILL_6,0.0,0.111638136,99.67%,0.12365096516160623
AVG_PAY_AMT_6,0.0,0.10518231,98.37%,0.1174088599552275
MAX_PAY_AMT_6,0.0,0.11317375,98.74%,0.11623451351151422
PAY_AMT3,0.0,0.08655094,98.17%,0.09049838671753044
BILL_AMT1,0.0,0.077603616,80.7%,0.08782387296126838
